Date,MSFT,MMM,INTC
3/07/2013,29.388567,93.200539,19.761082
5/07/2013,29.561394,94.980247,20.010586
8/07/2013,29.665087,95.482635,19.287016
9/07/2013,29.682362,96.521507,19.24543
10/07/2013,29.984804,96.589653,19.33692
11/07/2013,30.840281,97.526329,19.952372
12/07/2013,30.822996,98.045769,19.877516
15/07/2013,31.255056,97.798813,19.910786
16/07/2013,31.341473,97.364555,20.168615
17/07/2013,30.88349,97.62001,20.085445
18/07/2013,30.62425,98.335281,19.3286
19/07/2013,27.133228,98.939896,19.162266
22/07/2013,27.660339,99.01651,18.937702
23/07/2013,27.496155,99.41674,18.92107
24/07/2013,27.617132,99.059105,19.070778
25/07/2013,27.124592,99.246422,19.178894
26/07/2013,27.323332,99.552994,19.345234
29/07/2013,27.254204,99.297539,19.3286
30/07/2013,27.522079,99.493378,19.445038
31/07/2013,27.513439,99.995789,19.411772
1/08/2013,27.366537,100.830284,19.295336
2/08/2013,27.556644,100.702553,19.311964
5/08/2013,27.392462,100.413025,19.248974
6/08/2013,27.288773,100.055405,19.148197
7/08/2013,27.703545,100.336411,19.064219
8/08/2013,28.420763,101.060204,18.854258
9/08/2013,28.25658,100.745132,18.90465
12/08/2013,28.403479,100.804733,19.013826
13/08/2013,28.046688,101.051697,18.913044
14/08/2013,28.151119,100.1576,18.955036
15/08/2013,27.663807,98.650352,18.501534
16/08/2013,27.672503,98.692917,18.400749
19/08/2013,27.31572,98.445992,18.711491
20/08/2013,27.515871,98.284187,18.913044
21/08/2013,27.50717,97.115433,18.619106
22/08/2013,28.185926,98.18573,18.694691
23/08/2013,30.239601,97.954544,18.845856
26/08/2013,29.717489,97.894592,18.703087
27/08/2013,28.94301,96.524612,18.635899
28/08/2013,28.734158,96.755798,18.719883
29/08/2013,29.195362,97.0298,18.526722
30/08/2013,29.064837,97.252411,18.459536
3/09/2013,27.742121,96.944191,18.535118
4/09/2013,27.150383,98.082985,19.013826
5/09/2013,27.176489,98.356979,18.980234
6/09/2013,27.106876,98.502533,19.039022
9/09/2013,27.55068,99.958168,19.240585
10/09/2013,28.185926,100.685966,19.299368
11/09/2013,28.490499,101.644974,19.156597
12/09/2013,28.446989,101.208282,19.005421
13/09/2013,28.742859,101.550804,19.685694
16/09/2013,28.542709,102.090218,19.643702
17/09/2013,28.655834,102.689575,19.937647
18/09/2013,28.995213,103.854088,20.072012
19/09/2013,29.273678,104.093819,20.08041
20/09/2013,28.534012,102.758087,19.962837
23/09/2013,28.490499,103.699951,19.836864
24/09/2013,28.238142,103.434517,19.904049
25/09/2013,28.290352,102.920753,19.904049
26/09/2013,28.516605,103.314644,19.660498
27/09/2013,28.951702,102.937889,19.299368
30/09/2013,28.960409,102.244339,19.248974
1/10/2013,29.221472,102.424141,19.173395
2/10/2013,29.51734,102.064522,19.223787
3/10/2013,29.465128,101.507957,18.980234
4/10/2013,29.482533,102.235771,19.156597
7/10/2013,28.977814,101.627861,19.173395
8/10/2013,28.725452,100.317772,18.879456
9/10/2013,28.777668,100.668854,18.971836
10/10/2013,29.378107,102.184395,19.40015
11/10/2013,29.700087,103.366013,19.534525
14/10/2013,29.978548,103.948273,19.694094
15/10/2013,30.013359,102.595398,19.643702
16/10/2013,30.143885,103.554398,19.904049
17/10/2013,30.387541,104.992882,20.08881
18/10/2013,30.422359,105.181244,20.05522
21/10/2013,30.448456,105.53231,20.273575
22/10/2013,30.091673,106.003273,20.214788
23/10/2013,29.378107,105.489502,19.937647
24/10/2013,29.343296,105.737816,19.971235
25/10/2013,31.092409,106.534126,20.357559
28/10/2013,30.953175,106.962257,20.458336
29/10/2013,30.909668,107.2705,20.592712
30/10/2013,30.927073,106.850937,20.575916
31/10/2013,30.81395,107.75856,20.550718
1/11/2013,30.918375,107.801361,20.433142
4/11/2013,31.275158,108.161003,20.374357
5/11/2013,31.8843,107.989754,20.370121
6/11/2013,33.224407,108.854546,20.55661
7/11/2013,32.632671,108.23806,20.39555
8/11/2013,32.876328,109.590927,20.420979
11/11/2013,32.710987,109.556671,20.488794
12/11/2013,32.510845,109.907722,20.709196
13/11/2013,33.206997,110.10466,20.853306
14/11/2013,33.085175,111.132179,20.675287
15/11/2013,32.928539,111.183556,20.785488
18/11/2013,32.371616,111.423279,20.853306
19/11/2013,32.213787,111.354797,20.938072
20/11/2013,32.511902,111.152573,20.819395
21/11/2013,32.792469,112.159325,21.387348
22/11/2013,32.941528,112.735817,20.234489
25/11/2013,33.002914,112.916504,20.132763
26/11/2013,32.748646,113.708099,20.047993
27/11/2013,32.967834,114.869728,20.259916
29/11/2013,33.432549,114.878334,20.209057
2/12/2013,33.71312,109.861916,20.090376
3/12/2013,33.59037,108.932648,19.963219
4/12/2013,34.142746,108.812172,20.124289
5/12/2013,33.31855,109.130539,20.565088
6/12/2013,33.634212,110.662148,21.039797
9/12/2013,33.94109,110.627724,21.133041
10/12/2013,33.415001,109.750076,21.039797
11/12/2013,32.976608,109.078918,20.70072
12/12/2013,32.634655,108.915421,20.743099
13/12/2013,32.169949,108.786369,20.590521
16/12/2013,32.345303,109.844696,20.726152
17/12/2013,32.020889,113.054192,20.904165
18/12/2013,32.073505,116.848732,21.319536
19/12/2013,31.784145,117.373619,21.311058
20/12/2013,32.266399,117.64032,21.243246
23/12/2013,32.108578,117.709206,21.463646
24/12/2013,32.511902,117.872711,21.556892
26/12/2013,32.827541,118.991241,21.785769
27/12/2013,32.696033,119.903328,21.700996
30/12/2013,32.696033,119.963562,21.912926
31/12/2013,32.80125,120.677757,22.006166
2/01/2014,32.58205,118.853584,21.862062
3/01/2014,32.362835,119.128952,21.853582
6/01/2014,31.678938,118.423378,21.582321
7/01/2014,31.924446,118.440559,21.692528
8/01/2014,31.354523,117.562943,21.556892
9/01/2014,31.152859,117.408058,21.455168
10/01/2014,31.600014,117.175728,21.641659
13/01/2014,30.670612,115.885063,21.616232
14/01/2014,31.372061,118.23407,22.472406
15/01/2014,32.231327,119.120346,22.608034
16/01/2014,32.345303,118.87944,22.497833
17/01/2014,31.898146,118.148041,21.912926
21/01/2014,31.714005,117.872711,21.692528
